IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.26.14.147,4,4,0.00,40.58,7.65
172.67.9.246,4,4,0.00,41.62,0.88
172.67.10.237,4,4,0.00,42.24,0.53
162.159.142.17,4,4,0.00,41.39,0.35
162.159.135.27,4,4,0.00,41.07,0.28
104.25.244.232,4,4,0.00,41.55,0.20
104.25.247.71,4,4,0.00,40.85,0.19
162.159.137.149,4,4,0.00,38.78,0.16
104.18.73.238,4,4,0.00,37.78,0.07
162.159.133.49,4,4,0.00,40.52,0.03
