IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
131.186.60.210,443,true,NRT,亚太,JP,日本,东京,172 ms,5.42
158.179.167.73,443,true,ICN,亚太,KR,韩国,首尔,77 ms,5.01
140.83.60.81,8443,true,KIX,亚太,JP,日本,大阪,77 ms,4.59
158.178.238.239,443,true,SIN,亚太,SG,新加坡,新加坡,194 ms,3.84
193.122.100.30,2053,true,ICN,亚太,KR,韩国,首尔,118 ms,3.78
158.178.238.239,2053,true,SIN,亚太,SG,新加坡,新加坡,82 ms,3.45
152.70.155.147,2096,true,LAX,北美洲,US,美国,洛杉矶,232 ms,3.13
144.24.90.107,443,true,ICN,亚太,KR,韩国,首尔,81 ms,3.11
140.238.195.98,443,true,SYD,大洋洲,AU,澳大利亚,悉尼,169 ms,3.02
152.70.155.147,8443,true,LAX,北美洲,US,美国,洛杉矶,208 ms,2.79
152.70.163.164,8080,true,FRA,欧洲,DE,德国,法兰克福,296 ms,2.76
168.138.212.80,443,true,NRT,亚太,JP,日本,东京,153 ms,2.52
152.70.155.147,2053,true,LAX,北美洲,US,美国,洛杉矶,215 ms,2.50
140.245.88.19,443,true,NRT,亚太,JP,日本,东京,74 ms,2.47
152.70.155.147,2087,true,LAX,北美洲,US,美国,洛杉矶,208 ms,2.24
152.70.155.147,2083,true,LAX,北美洲,US,美国,洛杉矶,197 ms,2.19
204.216.105.106,8443,true,ORD,北美洲,US,美国,芝加哥,283 ms,2.18
141.148.242.113,8443,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,292 ms,2.05
40.233.70.7,8443,true,YYZ,北美洲,CA,加拿大,多伦多,261 ms,2.05
132.226.31.178,443,true,LAX,北美洲,US,美国,洛杉矶,233 ms,1.96
129.146.221.78,443,true,LAX,北美洲,US,美国,洛杉矶,203 ms,1.94
129.146.254.39,443,true,LAX,北美洲,US,美国,洛杉矶,215 ms,1.86
150.230.146.170,2053,true,FRA,欧洲,DE,德国,法兰克福,291 ms,1.83
141.148.229.106,443,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,256 ms,1.76
146.56.101.141,443,true,ICN,亚太,KR,韩国,首尔,79 ms,1.59
129.80.123.71,443,true,IAD,北美洲,US,美国,阿什本,253 ms,1.53
152.70.155.147,443,true,LAX,北美洲,US,美国,洛杉矶,239 ms,1.51
132.226.114.74,443,true,LAX,北美洲,US,美国,洛杉矶,220 ms,1.40
158.179.207.182,2053,true,ARN,欧洲,SE,瑞典,斯德哥尔摩,222 ms,1.20
132.145.54.84,8443,true,LHR,欧洲,GB,英国,伦敦,237 ms,1.20
144.22.252.124,443,true,GRU,南美,BR,巴西,圣保罗,365 ms,1.20
144.24.169.81,8443,true,FRA,欧洲,DE,德国,法兰克福,231 ms,1.17
152.70.49.115,443,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,291 ms,1.11
89.168.43.28,443,true,CDG,欧洲,FR,法国,巴黎,216 ms,1.10
152.70.57.182,443,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,242 ms,1.08
132.145.54.84,2053,true,LHR,欧洲,GB,英国,伦敦,216 ms,1.01
129.213.136.180,443,true,IAD,北美洲,US,美国,阿什本,255 ms,1.00
