IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
183.240.196.236,443,true,HKG,亚太,HK,香港,香港,35 ms,6.56
152.70.82.70,1450,true,KIX,亚太,JP,日本,大阪,83 ms,6.03
221.161.118.96,10443,true,ICN,亚太,KR,韩国,首尔,91 ms,5.76
175.208.103.63,15044,true,ICN,亚太,KR,韩国,首尔,102 ms,5.66
182.226.53.214,12589,true,ICN,亚太,KR,韩国,首尔,86 ms,5.63
125.180.223.126,19150,true,ICN,亚太,KR,韩国,首尔,110 ms,5.27
121.174.102.21,12530,true,ICN,亚太,KR,韩国,首尔,87 ms,5.24
124.49.17.207,19999,true,ICN,亚太,KR,韩国,首尔,94 ms,4.91
211.226.24.204,30327,true,ICN,亚太,KR,韩国,首尔,100 ms,4.81
112.185.168.195,17780,true,ICN,亚太,KR,韩国,首尔,111 ms,4.77
183.103.248.48,10088,true,ICN,亚太,KR,韩国,首尔,109 ms,4.65
121.176.15.93,50022,true,ICN,亚太,KR,韩国,首尔,106 ms,4.37
211.197.125.77,50003,true,ICN,亚太,KR,韩国,首尔,114 ms,4.27
140.83.82.88,1443,true,KIX,亚太,JP,日本,大阪,192 ms,4.26
59.13.75.15,31337,true,FUK,亚太,JP,日本,福冈,128 ms,3.93
211.219.241.28,31337,true,ICN,亚太,KR,韩国,首尔,85 ms,3.69
118.44.66.219,50002,true,ICN,亚太,KR,韩国,首尔,101 ms,3.47
209.146.101.42,587,true,LAX,北美洲,US,美国,洛杉矶,147 ms,3.00
61.83.172.34,32101,true,ICN,亚太,KR,韩国,首尔,127 ms,2.52
211.213.244.66,12174,true,ICN,亚太,KR,韩国,首尔,103 ms,2.47
121.174.123.188,30025,true,ICN,亚太,KR,韩国,首尔,87 ms,2.44
222.71.238.82,12360,true,LAX,北美洲,US,美国,洛杉矶,171 ms,2.41
14.49.168.244,10250,true,ICN,亚太,KR,韩国,首尔,107 ms,2.36
125.136.51.42,28017,true,LAX,北美洲,US,美国,洛杉矶,225 ms,2.25
1.236.233.194,50003,true,ICN,亚太,KR,韩国,首尔,104 ms,1.75
59.6.234.231,10162,true,LAX,北美洲,US,美国,洛杉矶,247 ms,1.74
220.93.164.196,10230,true,LAX,北美洲,US,美国,洛杉矶,225 ms,1.69
180.65.214.246,20000,true,KIX,亚太,JP,日本,大阪,129 ms,1.66
111.65.176.92,23424,true,NRT,亚太,JP,日本,东京,130 ms,1.34
183.97.180.5,10002,true,LAX,北美洲,US,美国,洛杉矶,282 ms,1.31
122.116.86.104,81,true,TPE,亚太,TW,台湾,台北,64 ms,1.00
