IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
175.116.15.113,50000,true,ICN,亚太,KR,韩国,首尔,77 ms,5.95
175.112.2.137,50000,true,ICN,亚太,KR,韩国,首尔,85 ms,4.01
14.45.231.77,50000,true,ICN,亚太,KR,韩国,首尔,90 ms,3.31
175.199.168.199,50000,true,ICN,亚太,KR,韩国,首尔,88 ms,3.19
14.49.244.188,50000,true,ICN,亚太,KR,韩国,首尔,101 ms,2.94
14.46.53.170,50000,true,ICN,亚太,KR,韩国,首尔,96 ms,2.88
14.44.39.55,50000,true,ICN,亚太,KR,韩国,首尔,82 ms,2.44
175.195.223.247,50000,true,ICN,亚太,KR,韩国,首尔,95 ms,2.38
14.48.162.252,50000,true,ICN,亚太,KR,韩国,首尔,84 ms,1.28
