IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
143.47.245.194,443,true,FRA,欧洲,DE,德国,法兰克福,259 ms,1.75
141.147.68.63,443,true,CDG,欧洲,FR,法国,巴黎,271 ms,1.70
130.162.255.91,443,true,FRA,欧洲,DE,德国,法兰克福,287 ms,1.69
79.72.78.86,443,true,FRA,欧洲,DE,德国,法兰克福,263 ms,1.67
141.147.112.138,443,true,FRA,欧洲,DE,德国,法兰克福,272 ms,1.66
84.235.169.92,443,true,FRA,欧洲,DE,德国,法兰克福,254 ms,1.62
158.101.217.8,443,true,CDG,欧洲,FR,法国,巴黎,263 ms,1.60
143.47.182.48,443,true,FRA,欧洲,DE,德国,法兰克福,236 ms,1.60
130.162.176.245,443,true,FRA,欧洲,DE,德国,法兰克福,227 ms,1.58
158.180.13.75,443,true,FRA,欧洲,DE,德国,法兰克福,283 ms,1.58
141.147.78.63,443,true,FRA,欧洲,DE,德国,法兰克福,224 ms,1.49
129.146.254.39,443,true,LAX,北美洲,US,美国,洛杉矶,202 ms,1.47
141.147.114.118,443,true,FRA,欧洲,DE,德国,法兰克福,269 ms,1.46
150.230.125.106,443,true,FRA,欧洲,DE,德国,法兰克福,287 ms,1.43
141.147.102.151,443,true,FRA,欧洲,DE,德国,法兰克福,263 ms,1.41
130.162.212.159,443,true,FRA,欧洲,DE,德国,法兰克福,211 ms,1.40
138.2.157.18,443,true,FRA,欧洲,DE,德国,法兰克福,292 ms,1.37
150.230.116.183,443,true,FRA,欧洲,DE,德国,法兰克福,267 ms,1.37
79.76.126.31,443,true,FRA,欧洲,DE,德国,法兰克福,230 ms,1.37
143.47.227.26,443,true,DUS,欧洲,DE,德国,杜塞尔多夫,220 ms,1.36
84.235.163.139,443,true,FRA,欧洲,DE,德国,法兰克福,188 ms,1.30
89.168.43.28,443,true,CDG,欧洲,FR,法国,巴黎,204 ms,1.29
132.226.114.74,443,true,LAX,北美洲,US,美国,洛杉矶,190 ms,1.25
138.2.169.168,443,true,FRA,欧洲,DE,德国,法兰克福,291 ms,1.23
150.230.112.24,443,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,258 ms,1.22
144.24.174.234,443,true,FRA,欧洲,DE,德国,法兰克福,280 ms,1.21
193.123.60.89,443,true,FRA,欧洲,DE,德国,法兰克福,253 ms,1.19
144.21.53.79,443,true,DUS,欧洲,DE,德国,杜塞尔多夫,286 ms,1.18
130.162.173.42,443,true,FRA,欧洲,DE,德国,法兰克福,222 ms,1.18
130.162.251.109,443,true,FRA,欧洲,DE,德国,法兰克福,227 ms,1.16
158.179.207.182,2053,true,ARN,欧洲,SE,瑞典,斯德哥尔摩,217 ms,1.16
141.148.225.64,443,true,FRA,欧洲,DE,德国,法兰克福,185 ms,1.16
130.162.188.114,443,true,FRA,欧洲,DE,德国,法兰克福,241 ms,1.14
138.2.170.56,443,true,FRA,欧洲,DE,德国,法兰克福,303 ms,1.11
158.180.49.11,8443,true,FRA,欧洲,DE,德国,法兰克福,277 ms,1.08
84.8.154.249,443,true,CDG,欧洲,FR,法国,巴黎,240 ms,1.05
89.168.112.118,443,true,FRA,欧洲,DE,德国,法兰克福,293 ms,1.00
