IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
168.138.165.174,443,true,SIN,亚太,SG,新加坡,新加坡,190 ms,5.18
158.179.167.73,443,true,ICN,亚太,KR,韩国,首尔,74 ms,4.89
140.238.23.148,443,true,ICN,亚太,KR,韩国,首尔,53 ms,4.77
84.235.166.213,443,true,LAX,北美洲,US,美国,洛杉矶,211 ms,3.53
146.56.46.84,443,true,ICN,亚太,KR,韩国,首尔,73 ms,3.45
132.145.91.171,8443,true,ICN,亚太,KR,韩国,首尔,67 ms,3.23
141.147.66.132,443,true,FRA,欧洲,DE,德国,法兰克福,270 ms,3.23
141.147.78.186,443,true,FRA,欧洲,DE,德国,法兰克福,224 ms,2.99
158.179.203.23,443,true,OSL,欧洲,NO,挪威,奥斯陆,228 ms,2.95
141.147.72.57,443,true,FRA,欧洲,DE,德国,法兰克福,265 ms,2.81
152.70.50.95,443,true,FRA,欧洲,DE,德国,法兰克福,221 ms,2.73
143.47.189.69,443,true,FRA,欧洲,DE,德国,法兰克福,270 ms,2.68
130.162.165.8,443,true,FRA,欧洲,DE,德国,法兰克福,271 ms,2.67
144.24.164.18,443,true,FRA,欧洲,DE,德国,法兰克福,218 ms,2.57
141.148.229.106,443,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,248 ms,2.55
130.162.167.47,443,true,FRA,欧洲,DE,德国,法兰克福,229 ms,2.53
79.72.92.191,443,true,FRA,欧洲,DE,德国,法兰克福,295 ms,2.51
204.216.105.106,8443,true,YUL,北美洲,CA,加拿大,蒙特利尔,261 ms,2.40
130.162.217.103,443,true,FRA,欧洲,DE,德国,法兰克福,350 ms,2.39
132.226.130.146,443,true,FRA,欧洲,DE,德国,法兰克福,246 ms,2.38
79.72.74.165,443,true,FRA,欧洲,DE,德国,法兰克福,221 ms,2.35
141.147.85.101,443,true,FRA,欧洲,DE,德国,法兰克福,186 ms,2.35
143.47.177.101,443,true,FRA,欧洲,DE,德国,法兰克福,274 ms,2.27
141.147.97.112,443,true,FRA,欧洲,DE,德国,法兰克福,252 ms,2.25
158.178.153.141,443,true,FRA,欧洲,DE,德国,法兰克福,266 ms,2.21
144.21.61.86,443,true,CDG,欧洲,FR,法国,巴黎,274 ms,2.21
140.245.88.19,443,true,NRT,亚太,JP,日本,东京,153 ms,2.19
193.122.5.158,443,true,FRA,欧洲,DE,德国,法兰克福,274 ms,2.11
132.226.212.60,443,true,FRA,欧洲,DE,德国,法兰克福,287 ms,2.10
141.148.228.124,443,true,FRA,欧洲,DE,德国,法兰克福,257 ms,2.08
138.2.175.192,443,true,FRA,欧洲,DE,德国,法兰克福,253 ms,2.07
152.70.51.216,443,true,CDG,欧洲,FR,法国,巴黎,218 ms,1.99
143.47.237.138,443,true,FRA,欧洲,DE,德国,法兰克福,286 ms,1.98
144.24.191.188,443,true,FRA,欧洲,DE,德国,法兰克福,283 ms,1.96
132.145.247.146,443,true,FRA,欧洲,DE,德国,法兰克福,244 ms,1.93
143.47.182.7,443,true,FRA,欧洲,DE,德国,法兰克福,245 ms,1.87
141.147.70.229,443,true,FRA,欧洲,DE,德国,法兰克福,273 ms,1.87
132.145.10.109,443,true,CDG,欧洲,FR,法国,巴黎,219 ms,1.86
141.147.73.196,443,true,FRA,欧洲,DE,德国,法兰克福,239 ms,1.86
152.70.48.20,443,true,FRA,欧洲,DE,德国,法兰克福,292 ms,1.85
141.144.207.7,443,true,FRA,欧洲,DE,德国,法兰克福,233 ms,1.85
152.70.61.105,443,true,FRA,欧洲,DE,德国,法兰克福,261 ms,1.85
150.230.126.228,443,true,FRA,欧洲,DE,德国,法兰克福,270 ms,1.84
40.233.70.7,8443,true,YYZ,北美洲,CA,加拿大,多伦多,201 ms,1.83
130.162.169.245,443,true,FRA,欧洲,DE,德国,法兰克福,270 ms,1.83
79.72.71.172,443,true,FRA,欧洲,DE,德国,法兰克福,306 ms,1.81
141.147.83.62,443,true,FRA,欧洲,DE,德国,法兰克福,248 ms,1.78
150.230.120.211,443,true,FRA,欧洲,DE,德国,法兰克福,258 ms,1.78
130.162.218.98,443,true,FRA,欧洲,DE,德国,法兰克福,212 ms,1.77
