IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
193.122.125.223,443,true,ICN,亚太,KR,韩国,首尔,141 ms,3.16
152.70.155.147,8443,true,LAX,北美洲,US,美国,洛杉矶,231 ms,2.84
152.70.155.147,443,true,LAX,北美洲,US,美国,洛杉矶,218 ms,2.64
152.70.39.199,2083,true,ICN,亚太,KR,韩国,首尔,212 ms,2.31
144.21.39.61,443,true,FRA,欧洲,DE,德国,法兰克福,222 ms,2.29
152.69.171.12,443,true,SYD,大洋洲,AU,澳大利亚,悉尼,178 ms,2.17
141.147.89.142,443,true,FRA,欧洲,DE,德国,法兰克福,230 ms,1.96
143.47.255.80,443,true,FRA,欧洲,DE,德国,法兰克福,276 ms,1.91
152.70.155.147,2087,true,LAX,北美洲,US,美国,洛杉矶,222 ms,1.83
143.47.225.99,443,true,FRA,欧洲,DE,德国,法兰克福,273 ms,1.74
192.9.152.46,443,true,SJC,北美洲,US,美国,圣何塞,201 ms,1.71
141.147.119.212,443,true,FRA,欧洲,DE,德国,法兰克福,254 ms,1.69
150.230.146.170,2053,true,FRA,欧洲,DE,德国,法兰克福,206 ms,1.67
144.21.51.182,443,true,FRA,欧洲,DE,德国,法兰克福,277 ms,1.65
150.230.34.116,443,true,SJC,北美洲,US,美国,圣何塞,178 ms,1.61
150.230.118.36,443,true,FRA,欧洲,DE,德国,法兰克福,295 ms,1.60
130.162.181.22,443,true,FRA,欧洲,DE,德国,法兰克福,254 ms,1.52
40.233.70.7,8443,true,YYZ,北美洲,CA,加拿大,多伦多,254 ms,1.50
152.70.155.147,2053,true,LAX,北美洲,US,美国,洛杉矶,218 ms,1.48
130.162.169.91,443,true,FRA,欧洲,DE,德国,法兰克福,266 ms,1.44
79.72.67.161,443,true,FRA,欧洲,DE,德国,法兰克福,264 ms,1.43
130.162.175.92,443,true,FRA,欧洲,DE,德国,法兰克福,232 ms,1.38
130.162.170.172,443,true,FRA,欧洲,DE,德国,法兰克福,298 ms,1.37
130.162.215.138,443,true,FRA,欧洲,DE,德国,法兰克福,259 ms,1.36
141.147.106.233,443,true,CDG,欧洲,FR,法国,巴黎,270 ms,1.36
204.216.105.106,8443,true,YYZ,北美洲,CA,加拿大,多伦多,229 ms,1.35
141.147.117.106,443,true,FRA,欧洲,DE,德国,法兰克福,221 ms,1.35
141.147.112.54,443,true,FRA,欧洲,DE,德国,法兰克福,285 ms,1.30
79.72.85.231,443,true,FRA,欧洲,DE,德国,法兰克福,271 ms,1.28
84.8.149.100,443,true,FRA,欧洲,DE,德国,法兰克福,259 ms,1.28
84.8.158.225,443,true,FRA,欧洲,DE,德国,法兰克福,269 ms,1.27
130.162.185.41,443,true,FRA,欧洲,DE,德国,法兰克福,273 ms,1.26
141.148.242.113,8443,true,AMS,欧洲,NL,荷兰,阿姆斯特丹,259 ms,1.24
84.8.154.201,443,true,FRA,欧洲,DE,德国,法兰克福,293 ms,1.24
193.122.100.30,2053,true,ICN,亚太,KR,韩国,首尔,138 ms,1.20
130.162.169.162,443,true,FRA,欧洲,DE,德国,法兰克福,214 ms,1.19
130.162.162.235,443,true,FRA,欧洲,DE,德国,法兰克福,212 ms,1.15
130.162.173.186,443,true,FRA,欧洲,DE,德国,法兰克福,268 ms,1.14
193.123.38.147,443,true,FRA,欧洲,DE,德国,法兰克福,218 ms,1.13
130.162.173.117,443,true,FRA,欧洲,DE,德国,法兰克福,174 ms,1.13
130.162.162.204,443,true,FRA,欧洲,DE,德国,法兰克福,240 ms,1.09
143.47.240.195,443,true,FRA,欧洲,DE,德国,法兰克福,231 ms,1.08
130.162.51.216,443,true,FRA,欧洲,DE,德国,法兰克福,199 ms,1.06
130.162.182.209,443,true,FRA,欧洲,DE,德国,法兰克福,285 ms,1.02
141.147.70.168,443,true,FRA,欧洲,DE,德国,法兰克福,273 ms,1.01
